construct,delta_200,sd_200,delta_400,sd_400,delta_600,sd_600,delta_800,sd_800,delta_1000,sd_1000,delta_1500,sd_1500
IDRBS-001,0.10009984,0.0577814190949079,0.250276125777778,0.049873910735005,0.438063436111111,0.0533248909386746,0.563039474222222,0.0784635270060258,0.576783561777778,0.11793391200979,0.605561037555556,0.0797752240994846
IDRBS-002,0.0507540746666667,0.0616068081178762,0.122012913111111,0.0600308488202588,0.205943305666667,0.0546976951325224,0.287278399111111,0.0672063631213861,0.312191470555556,0.106749695333415,0.240426682666667,0.0722655202257068
IDRBS-003,-0.0224829575555556,0.104931533714698,-0.0608952812222222,0.127536384561678,-0.0519779206666667,0.0975559524837555,-0.0282046985555556,0.061995870294863,-0.0210669301111111,0.124303575515576,-0.0436181424444445,0.100732761190802
IDRBS-004,0.00529839799999999,0.145940178401737,0.04834549,0.0772860324721665,0.0360023874444445,0.0718034938111563,0.0746370343333333,0.160320072000651,0.0467210696666667,0.0987717844402195,-0.0102835844444444,0.151875648320337
IDRBS-005,0.0632469294444444,0.042091592222122,0.127771556444444,0.072098970103087,0.207052563555556,0.0477740226741807,0.316215588111111,0.0667285575490587,0.367455412444444,0.0891372644825831,0.240274721555556,0.154891678309095
IDRBS-006,0.0603189536666667,0.0582904098709612,0.0978381346666667,0.0672010417266262,0.146581265777778,0.0626355270099796,0.148127733777778,0.0623890082315933,0.222670328222222,0.0512600731852516,0.255306583111111,0.0676315999495037
IDRBS-007,0.00113719177777777,0.160729417722154,0.0374501782222222,0.128338657240202,0.117498533555556,0.0952770279295947,0.0237740536666667,0.152300278079418,0.129572753777778,0.131773116192796,0.0561156635555556,0.120546661494201
IDRBS-008,0.0973677473333334,0.0185742687112805,0.266042145555556,0.0373859541817683,0.460306233444444,0.0332381482789987,0.60378886,0.0586761095231383,0.690546814111111,0.0700681833604086,0.715143953888889,0.0844769145423666
IDRBS-009,0.0674486516666667,0.0568432102740253,0.363999437,0.0625027326264522,0.570753159777778,0.0493948256272084,0.679453981444444,0.0668509431315426,0.705276758,0.0583138910744215,0.736213422666667,0.0631943379896614
IDRBS-010,0.0613445733333333,0.0396512821232648,0.109924520111111,0.0719730274915332,0.276925392111111,0.071115406505392,0.465544979,0.043043633071211,0.514512176222222,0.0682237334729455,0.548550004222222,0.0869808622754138
IDRBS-011,0.0300161887777778,0.0444256054697298,0.0910434986666667,0.0501768244691803,0.140671438333333,0.0493230417231954,0.157002010111111,0.0368653043661801,0.227581347777778,0.0630676475593358,0.250938801888889,0.0532430420241867
IDRBS-012,0.104698272777778,0.0575242730547166,0.207160229555556,0.0803105276401588,0.390567481888889,0.0563079009577634,0.494596159,0.0391651820877058,0.531367706111111,0.0576914113949777,0.495988541555556,0.0819714550907889
IDRBS-013,0.0259595932222222,0.0516429617474545,0.185453623111111,0.057882817796157,0.421071628777778,0.0777250938730697,0.525265262555556,0.134698387169305,0.646403224444444,0.141495036520617,0.602148633,0.0916323913251836
IDRBS-014,0.0936147456666667,0.0284369176533015,0.189294222333333,0.0512023181899479,0.308988609,0.083871100357537,0.453403909444444,0.0465474016120935,0.524018354222222,0.0684063565608857,0.629790315222222,0.051148265951899
IDRBS-015,0.0196853446666666,0.0518262460948597,0.127789272,0.0797340095604713,0.163175629222222,0.0651805933971107,0.294394523888889,0.0880459542000104,0.328416642111111,0.0667475848322838,0.376287763333333,0.0667143045204148
IDRBS-016,0.100806635111111,0.207127206218027,0.101390983111111,0.234366412754561,0.034799274,0.27127012080208,0.019933943,0.30674710265072,0.0138375903333334,0.311140424394319,-0.00942920299999999,0.26792478112794
IDRBS-017,-0.0278669206666666,0.065207929351883,0.0236297705555556,0.107252406940802,0.0276713396666667,0.0825804659208433,0.0889976344444445,0.0791450031675572,0.138441489555556,0.0713687239671899,0.109615530111111,0.0711783753912617
IDRBS-018,0.0262238728888889,0.0588329980028008,0.0656726713333333,0.0382173537682185,0.135374028222222,0.0712305776113817,0.197028344777778,0.0933261262408841,0.234711995333333,0.10384266262304,0.318385727666667,0.120561556639294
IDRBS-019,0.0508421166666666,0.0429125464363435,0.148103912333333,0.0362933714568416,0.219517010888889,0.044212220355036,0.275780601666667,0.0924939332482897,0.342056205444444,0.0819432336086547,0.334213279333333,0.105629854453852
IDRBS-020,0.0607004236666666,0.0777344221103161,0.0894069593333334,0.0859902073067978,0.215883772777778,0.0640340739555689,0.280269634,0.11034913542721,0.321163143111111,0.109111796299918,0.400519500444444,0.105167137959196
IDRBS-021,-0.000732490888888925,0.0649030967519281,0.0248062101111111,0.0902325060167303,0.103718067777778,0.0893700890131262,0.306810608888889,0.0603707089098415,0.370047065222222,0.090761075968129,0.382613239777778,0.0669827408642528
IDRBS-022,0.026199554,0.0439072404648221,0.121923179666667,0.0532502974631616,0.183294514333333,0.068235714983456,0.294567321444444,0.0928713095591303,0.331893270888889,0.103422875115235,0.364213212333333,0.11222153692984
IDRBS-023,0.125489832555556,0.0280114811119168,0.425768345444444,0.0529700124319347,0.682126395666667,0.0719854173985418,0.963465409555555,0.0667139222952723,0.997092136888889,0.0886533307256017,0.918800899555556,0.0704219083895268
IDRBS-024,0.0705703196666666,0.0327398102932989,0.246068669111111,0.0792053908171542,0.444191524444444,0.0791313932804619,0.520869723111111,0.0681045363373748,0.616256701,0.0731268920135477,0.578011696,0.0737742267537428
IDRBS-025,0.0964988538888889,0.0579925909601159,0.200622215222222,0.060742087133121,0.332006115666667,0.0388721736205429,0.480079810111111,0.070432325926235,0.592684368555556,0.0525698443254302,0.638355903333333,0.0400082603418291
IDRBS-026,0.0566523885555555,0.0576345417765488,0.166355524777778,0.0522858735874092,0.382485822111111,0.0949764950856908,0.549365885111111,0.0603025648771257,0.684342535444444,0.0770012875789978,0.714338917666667,0.103070552421105
IDRBS-027,0.0227793477777778,0.0665771521806706,0.126275022777778,0.0531091390976483,0.195220928111111,0.0598047208348982,0.230861333555556,0.0583839294485671,0.228561725333333,0.0330741911983495,0.260225522888889,0.0506104422038154
IDRBS-028,0.0476847744444444,0.0529905279334384,0.204649494777778,0.0843719207913325,0.392087688111111,0.138014944070472,0.685374255555556,0.139623104761075,0.834918048222222,0.183293515988155,0.833370054111111,0.177446554280244
IDRBS-029,-0.00684355566666667,0.0929865544678605,0.00607774711111111,0.10079953566243,0.0277505331111111,0.108152426234047,0.127706088222222,0.081794160264175,0.202126874444444,0.142190471054554,0.139720734111111,0.0840084176444185
IDRBS-030,0.0372176363333333,0.0499330963331484,0.119071901666667,0.0432887102595036,0.201615047,0.0477191230831256,0.284442485888889,0.0825256871380876,0.345359603111111,0.0617178765837591,0.389955643444444,0.0546691074993441
IDRBS-031,0.0296457412222222,0.0314553412233362,0.122380055,0.0562235897588379,0.176092393111111,0.0245331971515625,0.317883171888889,0.0552960663757996,0.396138474333333,0.0386403583799404,0.423588659444444,0.0799081821742782
IDRBS-032,0.0113861033333333,0.0639035834757866,0.0261416147777778,0.0438149910685003,0.0351154995555555,0.0582970725271975,0.175450794777778,0.0720374965964644,0.163068445888889,0.0625439406102584,0.190669580333333,0.0702786223714161
IDRBS-033,-0.0172797835555555,0.0779012175756177,0.0438702982222223,0.0975193892622452,0.0460120527777778,0.173254754610958,0.214055515222222,0.153566586140153,0.191392048888889,0.0720251429219126,0.202334033333333,0.102912096359695
IDRBS-034,0.0209206677777778,0.0216925831554969,0.078454012,0.0309071379241942,0.157534766888889,0.058090613950241,0.241486445111111,0.0978999863215367,0.274619922333333,0.149447266419634,0.311647999777778,0.15347114826265
IDRBS-035,-0.00428819299999998,0.0736292328309185,-0.0224759151111111,0.130224949956522,0.0726568146666667,0.136474161156521,0.067377315,0.108551027072205,0.041445113,0.105261779527452,0.0421355586666667,0.104336779355031
IDRBS-036,0.0486036126666667,0.0468227838681705,0.235031858111111,0.0514942014146677,0.609518602333333,0.0638970967267963,0.792082314888889,0.0991771889956255,0.826929056555556,0.12022408077903,0.626068816555556,0.144640826187888
IDRBS-037,0.0187269812222223,0.0603765810817037,0.00283388300000003,0.0720844800445135,0.020033728,0.0898526409320744,0.0935026977777778,0.143403015188366,0.0783804026666667,0.0963264556765792,0.0628557051111111,0.0882587612482408
IDRBS-038,0.0482038706666666,0.0366279326706396,0.103960048333333,0.033588530902741,0.186645266,0.0575982732886297,0.219324162777778,0.0485996105410775,0.272786583777778,0.0518983112680983,0.244668368777778,0.0665882903079694
IDRBS-039,0.0295731866666667,0.0494051724437615,0.135405797888889,0.0621524239340473,0.215102920888889,0.0565582579636705,0.343650695222222,0.0690888190520765,0.396093373444445,0.0646204754945021,0.381962490555556,0.0528308576543891
IDRBS-040,0.0587793224444444,0.0393304483436829,0.145055828555556,0.0368494728628964,0.232589346888889,0.0382254999640639,0.349906091333333,0.0507982257307631,0.422581955666667,0.055253693631103,0.483923073444444,0.0447937748838705
IDRBS-041,0.00147376944444446,0.0756635625825454,0.050843136,0.0592998898472261,0.127553239222222,0.0658409986409953,0.223318266444444,0.0707756465283679,0.248226524888889,0.0842213764419111,0.212133026888889,0.095441432888077
IDRBS-042,0.076017703,0.0283962643029677,0.174398981,0.0472283143754812,0.290580325333333,0.0653895627907452,0.375806084666667,0.0740067618197499,0.459876921222222,0.0482324630101629,0.546378785777778,0.0399879337838855
IDRBS-043,0.0673312796666667,0.0727647327689373,0.125724287777778,0.0898768404931024,0.210890037111111,0.122001242202396,0.266347895777778,0.0782157720566828,0.269213605555556,0.0845860603707445,0.269778906777778,0.0730959069066165
IDRBS-044,0.0583680428888889,0.0543175482040112,0.0933678188888889,0.051630841899339,0.148261531222222,0.0783936169098477,0.218866543,0.0667031458272434,0.260206491666667,0.0724518046193944,0.175553725444444,0.0611516026166752
IDRBS-045,-0.00240820833333329,0.074596533917936,-0.000123239555555525,0.0909543917423547,0.0152216392222222,0.0481571445784065,0.0487445397777778,0.0462641877521469,0.0702391736666667,0.0616076804359775,0.0398973218888889,0.0564628146891226
IDRBS-046,0.0487880378333333,0.0382943471481127,0.0956791675833334,0.0565360153338358,0.181803501,0.0554814882758898,0.273058091416667,0.0437286118980131,0.312130823666667,0.058242232326953,0.328935728333333,0.0794846491718412
IDRBS-047,0.0650496951666667,0.0441871892126392,0.172514514333333,0.0815717919261129,0.2708324445,0.120053151845698,0.4288015275,0.064506078646661,0.522880335166667,0.096014575028541,0.486337625166667,0.0884264251561418
IDRBS-048,0.0311632614444444,0.0563499443748104,0.115426407444444,0.0605078677271789,0.171983108111111,0.0235345461514041,0.259537004222222,0.0561891121641377,0.299843281777778,0.0681024948000013,0.295501804222222,0.0543921130738202
IDRBS-049,0.0483710123333334,0.098892842713065,0.00151848955555559,0.0582806013420482,0.0381771561111111,0.0864873695645617,0.0634121964444445,0.0927939811669247,0.0781628237777778,0.0872943483939161,0.0709194044444445,0.107964645937993
IDRBS-050,0.0947402816666666,0.116917823506318,0.128515096666667,0.0883679462133155,0.151901526333333,0.0786930840944116,0.321900643111111,0.100749291826654,0.275869358111111,0.158991778830365,0.244246193,0.154292760477944
IDRBS-051,0.0453527174444444,0.0342751361569901,0.130754663333333,0.0443282602866234,0.216342384222222,0.0514854244137857,0.308075934111111,0.037070958855342,0.350753710888889,0.0409162257104823,0.369108366666667,0.0577739853896402
IDRBS-052,0.0433267566666667,0.0335508427073913,0.113865340333333,0.0413931402192181,0.193110852222222,0.0500170672108002,0.241322996444444,0.0634196320140826,0.311696916222222,0.0694570440978365,0.256560470111111,0.053317718782867
IDRBS-053,0.0279668255555556,0.0334966311527529,0.0929706237777778,0.0409981311403769,0.145670216777778,0.0391853404152562,0.229844766666667,0.0323638289605103,0.252964727222222,0.0485301228126167,0.265558033777778,0.0605910247173885
IDRBS-054,0.0290995644444445,0.0606861235811554,0.0966819903333334,0.0329077127898138,0.134755858666667,0.0554501060808101,0.192347053444444,0.0552242422900916,0.209867348777778,0.0656809664346825,0.198133194666667,0.0630481773911922
IDRBS-055,0.018250096,0.0547295859977649,0.0818670084444444,0.0496622800978063,0.130811534666667,0.0520947748695738,0.212821058888889,0.0633979199556183,0.267720773666667,0.0598630460775832,0.274558111888889,0.082260090054495
IDRBS-056,0.0839418955555556,0.0470053526749631,0.17675482,0.0672720846905086,0.323522872888889,0.0519178698756574,0.448199634,0.0632256180141579,0.453346867555556,0.074564401769686,0.381251007333333,0.0381801307251077
IDRBS-057,0.0520972333333334,0.0800817651609903,0.110983,0.0655085336486209,0.183765222222222,0.0928020336225825,0.298437666666667,0.0520842732215541,0.335683222222222,0.111423321910796,0.298374111111111,0.0885131718700873
IDRBS-058,0.0306514333333333,0.0275335637029154,0.175958544444444,0.0453669010905559,0.279659544444444,0.0615215063876875,0.413210877777778,0.062966528031383,0.511165655555555,0.0957750769642618,0.631488877777778,0.13459539021741
IDRBS-059,0.0506656333333333,0.113234529356288,0.0802522333333334,0.0842766686740316,0.118249811111111,0.0685639812054668,0.110274677777778,0.0505907580365421,0.124111122222222,0.0621601366428835,0.211905122222222,0.0526257921105417
IDRBS-060,0.00638180000000001,0.0347789274434606,0.0484741777777778,0.0279644405404782,0.0979841777777778,0.0487125790837638,0.1299054,0.0555811360663175,0.131403066666667,0.0645302384994624,0.122332066666667,0.0579438244321386
IDRBS-061,0.00895306666666664,0.0471227409799133,0.1097581,0.0642934276513743,0.153738211111111,0.0862297832293089,0.237119433333333,0.0943938648090409,0.297841655555556,0.0580643802437456,0.267383322222222,0.0507445045291305
IDRBS-062,0.0760137777777777,0.0437935573211911,0.131729088888889,0.0519547024340542,0.211033422222222,0.0670817307032582,0.337708311111111,0.0650089435917176,0.363441977777778,0.0733258405546397,0.440252422222222,0.0925215672856575
IDRBS-063,0.0829013,0.0639040099700715,0.0724134333333333,0.0634331372531345,0.141156077777778,0.081639282997828,0.191095522222222,0.0490609376197036,0.235994522222222,0.0583268212458852,0.246569855555556,0.142711317060291
IDRBS-064,0.0858712777777778,0.0685262380029317,0.263235877777778,0.0857041826824073,0.414463433333333,0.0555832396281919,0.5057831,0.11578705801617,0.585781766666667,0.0594213507044396,0.634945544444445,0.140685682438167
IDRBS-065,0.0625670777777778,0.0406509564972885,0.122020633333333,0.038634413180803,0.191495522222222,0.0442650876094179,0.244313633333333,0.0501606405805388,0.301867077777778,0.0608914062914008,0.291134633333333,0.0843640658826375
IDRBS-066,0.036565,0.0642321136394405,0.0804446555555555,0.0561698154839436,0.150394433333333,0.052974993506111,0.214082655555556,0.0529379405958078,0.255090544444444,0.0504169158971002,0.115743466666667,0.13013504688123
IDRBS-067,0.0528323222222222,0.051372461640863,0.0603761666666667,0.0757535652425514,0.0890841666666667,0.0753448867441083,0.113099877777778,0.0804163647416802,0.0964651666666667,0.0732449233703777,0.00565980000000002,0.123479701776537
IDRBS-068,0.00698278888888886,0.0675361860315906,0.0330895555555555,0.052126141122356,0.0642770333333333,0.0564817404056391,0.0883312111111111,0.0672998690282984,0.103839988888889,0.0566254133254328,0.0926223222222222,0.0678824949818394
IDRBS-069,0.0663229777777778,0.062351066079454,0.138909088888889,0.0548881125118282,0.213012755555556,0.0574210429823229,0.265081422222222,0.0494614268177177,0.3231612,0.0737998955100886,0.309123977777778,0.0640450872444127
IDRBS-070,0.0773538888888889,0.0437918574125785,0.0851322222222222,0.0509261928741187,0.179337555555556,0.0699947768237765,0.227828,0.0350886212985421,0.266672444444444,0.0653737455182528,0.347578222222222,0.0748444201619395
IDRBS-071,0.0479768666666666,0.0579612030666204,0.138949755555556,0.0406145488262245,0.203297644444444,0.0632644348714804,0.249454755555556,0.0758625305157808,0.291695644444444,0.0621680937286787,0.352984866666667,0.0582188006530537
IDRBS-072,0.0444226888888889,0.0299190147468731,0.121291388888889,0.0547080373249087,0.205148388888889,0.0327358164155656,0.257795055555556,0.0834440995419105,0.264332722222222,0.0522944539358807,0.333394833333333,0.0392786236830225
IDRBS-073,0.0591099666666666,0.0587925119985105,0.125110122222222,0.0516561280036013,0.225219344444444,0.0626152675000895,0.227277344444444,0.0821714553493655,0.253452344444444,0.0749762969763296,0.295424233333333,0.0906006921418374
IDRBS-074,0.0296539111111111,0.0273892132454295,0.0666038555555555,0.030140517409092,0.110713966666667,0.0360486557847168,0.200329744444444,0.0393244423766921,0.238709744444444,0.0499587163179537,0.279400188888889,0.0478370637578344
IDRBS-075,0.0373661222222222,0.053567675866253,0.0625998888888889,0.083445175898497,0.118365188888889,0.0481155133368502,0.128441744444444,0.0547546491011062,0.179136188888889,0.0698675488906946,0.172584855555556,0.0467629814349478
IDRBS-076,0.00828176666666667,0.121399369518637,-0.0357638111111111,0.170826252297323,-0.0762443,0.129320750951471,-0.135624444444444,0.127555974259833,-0.100324311111111,0.134977950939787,-0.127188877777778,0.121269001516379
IDRBS-077,0.0378863333333333,0.108721523561724,0.160520033333333,0.153828704182948,0.138703811111111,0.071541210152898,0.255974033333333,0.136982249602111,0.230235811111111,0.181915661808614,0.2837497,0.157628888267839
IDRBS-078,0.0407251555555555,0.0487929321648666,0.0790181555555555,0.0539029387206327,0.130551822222222,0.0609947846316547,0.162458822222222,0.077477193275421,0.193130044444444,0.0821132793148908,0.184017711111111,0.0814232788006821
IDRBS-079,0.0674279222222222,0.0759096300015317,0.120274144444444,0.0714929603457766,0.114560255555556,0.0806846021340365,0.238476922222222,0.069254882148441,0.297622255555556,0.0737129779553966,0.328520255555556,0.0924549901771277
IDRBS-080,-0.00282139999999999,0.103334821655844,0.0954403888888889,0.115332519755298,0.0877734222222222,0.148886175105555,0.1987025,0.148291097625481,0.252261388888889,0.0755480934948468,0.152070611111111,0.137054268789342
IDRBS-081,0.0774908111111111,0.0536681036809213,0.1738727,0.0758382647653544,0.346277255555556,0.0983210585177345,0.479395477777778,0.0889832096992992,0.593152255555556,0.0646380227064363,0.564446033333333,0.0901096572815312
IDRBS-082,0.0248464666666666,0.0297404371827736,0.0723118666666666,0.0416521401083125,0.149096422222222,0.0254040413004889,0.2481122,0.0624728923132065,0.290196977777778,0.0439066465623025,0.252874311111111,0.0628643206474358
IDRBS-083,0.0326754888888889,0.0402691324884658,0.0953672666666667,0.0543763769863578,0.165484266666667,0.0596667417678182,0.212800266666667,0.0825047027039217,0.307795155555556,0.0468235564085032,0.329111044444445,0.0366170455667887
IDRBS-084,0.0496287,0.0456991712072276,0.115907,0.0281323045019866,0.209533666666667,0.0603664856208931,0.310472444444444,0.0409705722286775,0.359426222222222,0.0517684192436561,0.371998666666667,0.0435459944695548
IDRBS-085,0.0463478222222223,0.0404667291061675,0.175972577777778,0.0379962467670419,0.368115911111111,0.0542128165741147,0.564467911111111,0.056461109903841,0.640370466666667,0.0670241405596707,0.616310466666667,0.0934496725632974
IDRBS-086,0.0727396222222222,0.0390356370504177,0.166246733333333,0.0831582134392779,0.272623288888889,0.0322902257923912,0.342072288888889,0.0843314831041683,0.399882177777778,0.102484741714106,0.421754622222222,0.0752000833966089
IDRBS-087,0.0356260777777778,0.127056987316379,0.0690533111111111,0.081977941200018,0.105224622222222,0.0816055465913129,0.155299766666667,0.164155334851711,0.143419866666667,0.140605843752411,0.159220766666667,0.161299091024446
IDRBS-088,0.0458771222222222,0.0793507232626423,0.105891777777778,0.0923311792941959,0.188386655555556,0.0716629579953987,0.271069655555556,0.106932395585951,0.297521544444444,0.122970087474557,0.290929655555555,0.129417666346119
IDRBS-089,0.0201343,0.055479170251726,0.108807366666667,0.0432449745993682,0.210346366666667,0.0467807709922036,0.335722811111111,0.0610727152776598,0.414471144444444,0.0710829183550998,0.420285811111111,0.137232285348278
IDRBS-090,0.0519439333333333,0.0590172823578823,0.0972747333333333,0.0398351895483754,0.185882622222222,0.0660879174321936,0.316512733333333,0.0425320672840505,0.341428066666667,0.0720065902013837,0.3991254,0.0782545033413732
IDRBS-091,0.0699571333333333,0.146979156306864,0.111372222222222,0.194079955915364,0.0895612555555556,0.117145778712424,0.102713455555556,0.141778853279695,0.0867927,0.171529332598553,0.0168312,0.144630335263422
IDRBS-092,0.171909033333333,0.173507393111382,0.0651100111111111,0.139331146610947,0.133729122222222,0.111486968933378,0.195592533333333,0.151359129404952,0.156778666666667,0.110473579276699,0.1739388,0.143128309543238
IDRBS-093,-0.00294158888888887,0.0413927327931017,-0.0123197666666666,0.0313545768313017,-0.00283446666666662,0.0403437512853911,-0.0150667888888888,0.0504131116476518,-0.0116371555555555,0.024975264002464,-0.0267617111111111,0.036094145643388
IDRBS-094,0.0500812111111111,0.0315324527385456,0.0566121555555555,0.0548804893353073,0.0617780888888889,0.0785811185100219,0.145671388888889,0.079509933881268,0.156509833333333,0.0820635197797566,0.0955600222222222,0.0874996465591973
IDRBS-095,0.0539893444444445,0.0820169068050013,0.0955734111111111,0.0725353033774148,0.112174511111111,0.109573800630904,0.135243966666667,0.0716887156848447,0.187030633333333,0.064245089680788,0.0838930777777778,0.059405849939311
IDRBS-096,0.0729500666666667,0.050623965728546,0.155481766666667,0.037157235220378,0.266778433333333,0.0327256519774243,0.346983433333333,0.0505818995204559,0.406518433333333,0.058768705405577,0.391917211111111,0.0647583190845671
IDRBS-097,0.0640620666666667,0.0450812237805552,0.144849955555556,0.0597075357143491,0.231792844444444,0.0626711375168448,0.291208844444444,0.0604161707345829,0.339792844444444,0.0907528235493545,0.348692955555556,0.0873736906327086
IDRBS-098,0.0265824666666667,0.187014917557163,0.0192997666666667,0.13441241530321,0.0851884222222222,0.111547505393294,0.114033622222222,0.192202151949274,0.0824006,0.185598610662897,0.0979382333333333,0.131766822467427
IDRBS-099,0.0585647333333333,0.047340983754037,0.0461799666666666,0.0640495851470562,0.111686733333333,0.0640524903026807,0.125889844444444,0.0526401817395968,0.2110404,0.0513302855561412,0.166355733333333,0.0720003254306882
