Construct,Mean_Delta,sd,FRET_0M
1,1.0722291341545,0.130314523681598,1.74392507649108
2,0.164785817301361,0.0548265677710587,0.758994652091192
3,-0.0218192873641989,0.0968413868483638,0.814920812578996
4,-0.00661335658826466,0.0989096509658422,0.736795265612868
5,0.259084510984102,0.0980150968539368,0.700121912297433
6,0.23559460859289,0.0558381225072825,0.778778235439974
7,0.0543944462211645,0.0916715923388103,0.754558334601064
8,1.27071183770568,0.143805194780687,1.67624850896632
9,0.606623476152103,0.353539180184958,0.952032368329512
10,0.43735611697232,0.0821911944915605,0.848305124864713
11,0.234249558958372,0.0561989784922444,0.82817988531671
12,0.935303475524577,0.161558248548935,1.78528171701192
13,0.333455343775505,0.161901401235965,0.674207179578225
14,0.471830458509175,0.0671770977664125,0.739938387029741
15,0.291621665471383,0.0860456463137794,0.758338359525981
16,0.0693753379720288,0.27421787390033,0.860488262324107
17,0.1023604234222,0.0754189694864807,0.779941827028973
18,0.283963066828983,0.10800496110227,0.846002586213305
19,0.271918877906465,0.0976532190554117,0.718381236849192
20,0.296626041696733,0.0703527278761398,0.725591764571132
21,0.262474147304063,0.111993529529517,0.815560061983436
22,0.253820633220232,0.171904868370574,0.705597339134564
23,0.868734871775338,0.293160894442112,1.08831413894787
24,0.366082443432786,0.154612890017127,0.720877460874378
25,0.624346376292235,0.0372931692425596,0.932271003623662
26,0.523216053277012,0.0943632873949442,0.704285209786346
27,0.472585238014314,0.103356795438726,1.01024003789974
28,0.714478917553318,0.159682665661017,0.859437850535015
29,0.0790954171112724,0.0705490451210523,0.776386334370206
30,0.316671629275319,0.0725000364204749,0.715212883840005
31,0.209189811258379,0.0514964842459397,0.785965636891703
32,0.108120858785838,0.039189819397586,0.658269635452621
33,0.190229977131482,0.0867002176593688,0.854246567007038
34,0.267736365427914,0.147098879698158,0.857855568143637
35,0.0389259287500149,0.0921555961233449,0.78979374464289
36,0.531574003680192,0.139275422233002,0.88443148779074
37,0.036336866377825,0.0696580447826773,0.911351105330141
38,0.295487574208096,0.0824162322489615,0.914745666454075
39,0.335513411883973,0.0908094232719561,0.818233161654844
40,0.432274807105399,0.0417439114240747,0.882722005472468
41,0.149483890349801,0.078589257665568,0.715263183929964
42,0.39645060733345,0.044760131224681,0.691201039335159
43,0.237829630894521,0.117935448123685,0.659839710017399
44,0.243127652435739,0.0770623787792241,0.938508945197801
45,0.0556789470626658,0.0757270639402694,0.885282069555641
46,0.300361861704359,0.0784914250641105,0.825329495197365
47,0.551901888546337,0.153164770998853,1.02843623028221
48,0.242660935171824,0.07275080840401,0.813762634216497
49,0.0237132587111352,0.0660014124730902,0.689659454918421
50,0.294992064808499,0.161996930307308,1.00392551443148
51,0.331292888892142,0.0874226703296816,0.794031150619825
52,0.367596218973963,0.129474516093102,1.00560866956366
53,0.275837493446148,0.0660508167498497,0.857829637807218
54,0.288193889631624,0.040540416036189,0.986405487858165
55,0.230609491711555,0.0778924584031091,0.832685585980691
56,0.293334483165025,0.124419486554444,0.974246679900569
57,0.387092420754047,0.0855689351145281,1.01363712562611
58,0.600194727079808,0.177228379555739,0.873470919365059
59,0.163139569643881,0.0379820473109884,0.665111136356282
60,0.107838442323283,0.0359267894600309,0.799542104637966
61,0.309748255217365,0.163058415902989,0.742101286753236
62,0.348602240709737,0.169604945794147,0.877424821539957
63,0.204869761883718,0.087771465931938,0.798242718661286
64,0.595460297255155,0.0985365087906077,0.860343181016395
65,0.364462592458384,0.117888018967083,0.856260979983995
66,0.247109457660574,0.133100246030114,0.88344103984817
67,0.101765235866121,0.0563542000758424,0.700548594011284
68,0.0449378046209529,0.0518627757302584,0.727561751489558
69,0.302640052443993,0.050309842519231,0.868416372039805
70,0.207814430673903,0.144197184174012,0.723068308529791
71,0.309112228527233,0.0553374970786997,0.852974721592345
72,0.197109206138405,0.0896865846291054,0.7385945933299
73,0.264850146008565,0.0893231632768947,0.808413723565904
75,0.172331164333793,0.0179947311681125,0.910864287352097
77,0.337563844270583,0.0927816387687494,1.12446408532877
78,0.144353712492739,0.0537235366011346,0.683503487979636
81,0.488212731078207,0.0661577410755183,0.883930759608245
82,0.315262271507014,0.11954018028257,1.2305833808544
83,0.275750602087419,0.0414812196862272,0.852453264871888
84,0.366149178682061,0.0453156031793768,1.00209215667326
85,0.479407789949863,0.0620025394061386,0.788880743594402
86,0.320563018356468,0.0453850839793944,0.735854691193621
87,0.119535121589828,0.102998049642793,0.760840399607644
88,0.234661233555693,0.0704075029429709,0.844597462089821
89,0.23893004011222,0.0758114603134091,0.561455066452738
90,0.459268781016419,0.0762053580567252,1.02423448184371
91,-0.0367290054531564,0.11778823835586,0.73654462364151
92,-0.0129453011352776,0.138694823471677,0.834128471504712
93,-0.009865987383533,0.0114610638080834,0.420029221701493
94,0.0972276108495327,0.0802357549049703,0.878037413673102
95,0.0760296596999147,0.0471387480292333,0.765707125519339
96,0.297964701973076,0.0705392902855591,0.75143355597479
97,0.229017567981453,0.0523483462218015,0.648939515376169
98,0.0225260810432077,0.0851957874982038,0.820375557382807
99,0.168122956396646,0.0691375076019685,0.815762487679231
100,0.0815896114464442,0.117837902625609,0.788724173898367
101,0.176067158691216,0.0690071795740753,0.818731608638629
102,0.870509966954532,0.110618747043682,1.30630177051457
103,-0.00424766928930522,0.19156833965269,1.04872792492483
104,0.245944309663148,0.0458512792115061,0.883519399471251
105,0.28342291308901,0.0842349852461718,0.696682659631752
106,0.0276512564250598,0.0513999861889549,0.724285141616689
107,0.332261390791561,0.0646627457488552,0.701720920900918
108,0.371106683672487,0.057675367908572,0.779815873687106
109,0.298106004521607,0.0648227119307814,0.778613270581853
110,0.187405539648608,0.0663465391161863,0.743819617416274
111,0.313892765346423,0.0872414434243538,1.07909736591059
112,0.0167309397087042,0.116952388858491,1.03214252352007
113,0.314055184419074,0.0649719619061572,0.936365650082389
114,0.139305545914359,0.043048593487314,0.841871058978465
115,0.267877077300382,0.115142419318638,0.787857571422656
116,0.582816777237798,0.0937507223266387,0.750784574142397
117,0.217142596317337,0.0634471674375608,0.800574289332072
118,0.354112454591677,0.0476903701999298,0.692332834106412
119,0.487933897977374,0.146035313019932,0.773525722645912
120,0.475063276729355,0.0500131097988041,0.847925410023139
121,0.369825123315243,0.0829737036023277,0.753916374387375
122,0.596845408200125,0.0801741765407921,0.907662377117771
123,0.515298512551619,0.0784702410774816,0.748783955514013
124,0.395843058697791,0.0605520137058203,0.785953902013398
125,0.186872617973761,0.0430923159538115,0.787785477725217
126,0.420554592088286,0.090067655055795,1.10002286272615
127,0.380919878256314,0.0600836033935453,0.871309754225941
128,0.261375477273224,0.0848923487878452,0.669089914702493
129,0.247210935926301,0.105170168858669,0.727512999130974
130,0.651054064851369,0.0539408911147093,0.897267601549065
131,0.173215425397775,0.082885893688127,0.788407679863423
132,0.251506033235436,0.0831353749039269,0.904205824622624
133,0.608162275153838,0.0860980638700646,0.958634984060595
134,0.327634176332637,0.0452149554285487,0.884591805384416
135,0.308456641275495,0.0880711372390508,1.017657586308
136,0.230988390453109,0.053060193568346,0.911318167115222
137,0.111841374624015,0.120666709351768,0.817748118490568
138,0.39628162250012,0.195745105485699,1.64807163404559
139,0.677974070765191,0.266462491673238,1.45965905869758
140,0.0151671349322642,0.0196990298126486,0.58107679322736
141,0.645547605620792,0.0906144509591707,0.88813311820117
142,0.097647386616661,0.0506671896216507,0.612683178829986
143,0.0124447193771828,0.0881399985472922,1.13575545378072
144,0.549758503687967,0.0984514148579419,0.943394102952816
145,0.358086945819706,0.0707368671025712,0.679258374299845
146,0.0792322599242335,0.0461555244413314,0.788979945212225
147,0.121757056404245,0.0769873601525249,0.749477238959425
148,0.110236588768936,0.0384210830654315,0.807396904158072
149,0.130245528072911,0.0530654353622689,0.753886093761277
150,0.3809057879294,0.0601268074565971,0.841932236289776
151,0.403752586974539,0.168958147081083,0.762161873142461
152,0.194986989064448,0.0494168992961531,0.62650869846489
153,0.282768983087788,0.0560957236249869,0.674206549671858
154,0.624246096697658,0.0593506462901573,0.650246697531914
155,0.428270569848643,0.0764575647749064,0.640665312395656
156,0.390537372431152,0.101441512934904,0.837848456318341
157,0.230267215521496,0.0705303283299602,0.729776301974103
158,0.125414000766185,0.0571844663308024,0.619408125035522
159,0.352124739959812,0.0414735202830441,0.740080852359911
160,0.220153489550887,0.0506653289180436,0.71379690508119
161,0.382350172193385,0.0410401112450969,0.74325692380498
162,0.390027094631759,0.124976937178944,0.899892674085856
163,1.74721968940817,0.0955063995388294,0.968924825444944
164,0.524475590975169,0.0476940069102918,0.813111801539014
165,0.255263306402898,0.0489739602990093,0.763892297801056
166,0.255207311441212,0.0713510059474977,0.658205776452679
167,0.645803718659848,0.209497232636504,1.10965131205659
168,0.991130869051548,0.207280586816034,1.05586110011872
169,0.223133383745793,0.108688759232516,0.9807077263407
170,0.309081668815664,0.0759977264934532,0.997697120121141
171,0.246541791397685,0.0291899018973391,0.865390959320333
172,0.243987208337748,0.0994731189327094,0.831600244884709
173,0.269069154170948,0.0589239112891387,0.753215816677729
174,0.287752746676966,0.0389594801311073,0.657807981295689
175,0.363022173267622,0.0540761960174929,0.793309555882971
176,-0.0231544614949733,0.0731785180666131,0.836371450386344
177,0.555832690243846,0.0730591462276339,0.735710089281125
178,-0.0767109530637659,0.113028807227088,0.912100015243376
179,0.348668908058933,0.091874642201366,0.783761240858625
180,0.556336834242527,0.220381202869955,0.702386273110192
181,0.784840612373035,0.0707759713959709,0.792739396842168
182,0.319913943800944,0.150647582596889,0.938619731520353
183,0.485225742710784,0.0761049652093126,0.961951290192929
184,0.807655119459114,0.0434867930127426,0.891773604822532
185,0.796947842889292,0.0973792972484591,0.880830261603013
186,0.500703764883818,0.117491063130316,0.805288411962293
187,0.459208583110565,0.114785064923274,0.801362686916429
188,0.378796606483657,0.0759343211811566,0.75079469614859
189,0.61762180833307,0.156729231660272,0.774385163549629
190,0.589480625123797,0.0932042069367598,0.843835336867471
191,0.427118037681773,0.23940711978366,0.803249184797495
192,0.634009889829616,0.0927270388406374,0.838058886476384
193,0.934333914201168,0.0663606146869795,0.897811210949489
194,0.189857865700952,0.0792907198172284,0.731633219299662
195,0.154659709403993,0.0797043805090746,0.701857644445563
196,0.355052136328782,0.067968001838047,0.760510124167341
197,0.447777951998916,0.0412329115099452,0.789603822071131
198,0.336545277450692,0.0408783228931529,0.77756905532779
199,0.646456780085635,0.09248321249529,0.883171452454457
200,0.410575888987579,0.0452580210570369,0.802558911602507
201,0.298255182300452,0.0350247827886995,0.673792280793355
